[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 129.036897096454 gpsX Find
[BusLocationSystem] 35.109200311937 gpsY Find
[BusLocationSystem] 167860101 bstopId Find
[BusLocationSystem] 영주동 bstopNm Find
[BusLocationSystem] 129.036973946086 gpsX Find
[BusLocationSystem] 35.10842403222 gpsY Find
[BusLocationSystem] 167930101 bstopId Find
[BusLocationSystem] 2부두 bstopNm Find
[BusLocationSystem] 129.0406533333 gpsX Find
[BusLocationSystem] 35.1085616667 gpsY Find
[BusLocationSystem] 169270201 bstopId Find
[BusLocationSystem] 2부두 bstopNm Find
[BusLocationSystem] 129.04012 gpsX Find
[BusLocationSystem] 35.10828 gpsY Find
[BusLocationSystem] 167700304 bstopId Find
[BusLocationSystem] 영주동 bstopNm Find
[BusLocationSystem] 129.03661 gpsX Find
[BusLocationSystem] 35.1081266667 gpsY Find
[BusLocationSystem] 167700305 bstopId Find
[BusLocationSystem] 중부경찰서 bstopNm Find
[BusLocationSystem] 129.0363783333 gpsX Find
[BusLocationSystem] 35.1076833333 gpsY Find
[BusLocationSystem] 168010301 bstopId Find
[BusLocationSystem] 중앙동(중앙역) bstopNm Find
[BusLocationSystem] 129.036246298 gpsX Find
[BusLocationSystem] 35.1065367729 gpsY Find
[BusLocationSystem] 167860202 bstopId Find
[BusLocationSystem] 중앙동(중앙역) bstopNm Find
[BusLocationSystem] 129.0361033333 gpsX Find
[BusLocationSystem] 35.1053566667 gpsY Find
[BusLocationSystem] 167860201 bstopId Find
[BusLocationSystem] 중앙동 bstopNm Find
[BusLocationSystem] 129.0361933333 gpsX Find
[BusLocationSystem] 35.1055433333 gpsY Find
[BusLocationSystem] 169270202 bstopId Find
[BusLocationSystem] 연안여객터미널 bstopNm Find
[BusLocationSystem] 129.039155 gpsX Find
[BusLocationSystem] 35.1060766667 gpsY Find
[BusLocationSystem] 167930102 bstopId Find
[BusLocationSystem] 연안여객터미널 bstopNm Find
[BusLocationSystem] 129.0382716667 gpsX Find
[BusLocationSystem] 35.1050833333 gpsY Find
[BusLocationSystem] 167930201 bstopId Find
[BusLocationSystem] 부산세관 bstopNm Find
[BusLocationSystem] 129.03744 gpsX Find
[BusLocationSystem] 35.1040166667 gpsY Find
[BusLocationSystem] 167710301 bstopId Find
[BusLocationSystem] 제일은행앞 bstopNm Find
[BusLocationSystem] 129.0348333333 gpsX Find
[BusLocationSystem] 35.1029516667 gpsY Find
[BusLocationSystem] 167950102 bstopId Find
[BusLocationSystem] 백산기념관 bstopNm Find
[BusLocationSystem] 129.0338966667 gpsX Find
[BusLocationSystem] 35.10275 gpsY Find
[BusLocationSystem] 211840303 bstopId Find
[BusLocationSystem] 중앙역2번출구 bstopNm Find
[BusLocationSystem] 129.03656 gpsX Find
[BusLocationSystem] 35.1018516667 gpsY Find
[BusLocationSystem] 211840302 bstopId Find
[BusLocationSystem] CJ대한통운 bstopNm Find
[BusLocationSystem] 129.036585 gpsX Find
[BusLocationSystem] 35.1012083333 gpsY Find
[BusLocationSystem] 211840301 bstopId Find
[BusLocationSystem] CJ대한통운 bstopNm Find
[BusLocationSystem] 129.036625 gpsX Find
[BusLocationSystem] 35.100595 gpsY Find
[BusLocationSystem] 167730101 bstopId Find
[BusLocationSystem] 부산항만공사 bstopNm Find
[BusLocationSystem] 129.037685 gpsX Find
[BusLocationSystem] 35.10077 gpsY Find
[BusLocationSystem] 211850401 bstopId Find
[BusLocationSystem] 부산항만공사 bstopNm Find
[BusLocationSystem] 129.03792 gpsX Find
[BusLocationSystem] 35.1008416667 gpsY Find
[BusLocationSystem] 211840304 bstopId Find
[BusLocationSystem] 연안여객부두 bstopNm Find
[BusLocationSystem] 129.0366483333 gpsX Find
[BusLocationSystem] 35.10047 gpsY Find
[BusLocationSystem] 167720201 bstopId Find
[BusLocationSystem] 중앙동주민센터 bstopNm Find
[BusLocationSystem] 129.0365666667 gpsX Find
[BusLocationSystem] 35.1009533333 gpsY Find
[BusLocationSystem] 167720202 bstopId Find
[BusLocationSystem] 부산데파트 bstopNm Find
[BusLocationSystem] 129.036585 gpsX Find
[BusLocationSystem] 35.1005883333 gpsY Find
[BusLocationSystem] 167870101 bstopId Find
[BusLocationSystem] 수산물품질관리부산지원 bstopNm Find
[BusLocationSystem] 129.0367016667 gpsX Find
[BusLocationSystem] 35.0999433333 gpsY Find
[BusLocationSystem] 208830101 bstopId Find
[BusLocationSystem] 중앙공원 민주공원 bstopNm Find
[BusLocationSystem] 129.028602 gpsX Find
[BusLocationSystem] 35.112736 gpsY Find
[BusLocationSystem] 211840201 bstopId Find
[BusLocationSystem] 부산데파트 bstopNm Find
[BusLocationSystem] 129.0366216667 gpsX Find
[BusLocationSystem] 35.1001466667 gpsY Find
[BusLocationSystem] 167960201 bstopId Find
[BusLocationSystem] 영도대교(남포역) bstopNm Find
[BusLocationSystem] 129.0360916667 gpsX Find
[BusLocationSystem] 35.0969016667 gpsY Find
[BusLocationSystem] 167960202 bstopId Find
[BusLocationSystem] 영도대교(남포역) bstopNm Find
[BusLocationSystem] 129.03594 gpsX Find
[BusLocationSystem] 35.09737833 gpsY Find
[BusLocationSystem] 167850201 bstopId Find
[BusLocationSystem] 영도대교(남포역) bstopNm Find
[BusLocationSystem] 129.0357433333 gpsX Find
[BusLocationSystem] 35.097485 gpsY Find
[BusLocationSystem] 167850202 bstopId Find
[BusLocationSystem] 영도대교 bstopNm Find
[BusLocationSystem] 129.035885 gpsX Find
[BusLocationSystem] 35.0970583333 gpsY Find
[BusLocationSystem] 167990301 bstopId Find
[BusLocationSystem] 문우당서점 bstopNm Find
[BusLocationSystem] 129.0329833333 gpsX Find
[BusLocationSystem] 35.0978933333 gpsY Find
[BusLocationSystem] 168000105 bstopId Find
[BusLocationSystem] 자갈치시장 bstopNm Find
[BusLocationSystem] 129.032435 gpsX Find
[BusLocationSystem] 35.097535 gpsY Find
[BusLocationSystem] 168000104 bstopId Find
[BusLocationSystem] 자갈치시장 bstopNm Find
[BusLocationSystem] 129.0312333333 gpsX Find
[BusLocationSystem] 35.097505 gpsY Find
[BusLocationSystem] 167990302 bstopId Find
[BusLocationSystem] 남포동 bstopNm Find
[BusLocationSystem] 129.0323466667 gpsX Find
[BusLocationSystem] 35.09797 gpsY Find
[BusLocationSystem] 167990303 bstopId Find
[BusLocationSystem] 남포동 bstopNm Find
[BusLocationSystem] 129.0318233333 gpsX Find
[BusLocationSystem] 35.0979333333 gpsY Find
[BusLocationSystem] 167990304 bstopId Find
[BusLocationSystem] 남포동 bstopNm Find
[BusLocationSystem] 129.0312433333 gpsX Find
[BusLocationSystem] 35.0981016667 gpsY Find
[BusLocationSystem] 167990305 bstopId Find
[BusLocationSystem] 남포동 bstopNm Find
[BusLocationSystem] 129.0301 gpsX Find
[BusLocationSystem] 35.09814 gpsY Find
[BusLocationSystem] 167990306 bstopId Find
[BusLocationSystem] 남포동비프광장 bstopNm Find
[BusLocationSystem] 129.0289566667 gpsX Find
[BusLocationSystem] 35.0978983333 gpsY Find
[BusLocationSystem] 167820102 bstopId Find
[BusLocationSystem] 남포동 bstopNm Find
[BusLocationSystem] 129.031485 gpsX Find
[BusLocationSystem] 35.0980216667 gpsY Find
[BusLocationSystem] 168000102 bstopId Find
[BusLocationSystem] 신동아시장 bstopNm Find
[BusLocationSystem] 129.0293006298 gpsX Find
[BusLocationSystem] 35.097133805 gpsY Find
[BusLocationSystem] 168000103 bstopId Find
[BusLocationSystem] 자갈치시장 bstopNm Find
[BusLocationSystem] 129.0304616667 gpsX Find
[BusLocationSystem] 35.0973883333 gpsY Find
[BusLocationSystem] 168000101 bstopId Find
[BusLocationSystem] 신동아시장 bstopNm Find
[BusLocationSystem] 129.0289312218 gpsX Find
[BusLocationSystem] 35.0970759548 gpsY Find
[BusLocationSystem] 167820301 bstopId Find
[BusLocationSystem] 자갈치역 bstopNm Find
[BusLocationSystem] 129.026988305 gpsX Find
[BusLocationSystem] 35.0975509982 gpsY Find
[BusLocationSystem] 167810401 bstopId Find
[BusLocationSystem] 서구청(충무동) bstopNm Find
[BusLocationSystem] 129.025275045 gpsX Find
[BusLocationSystem] 35.0978633081 gpsY Find
[BusLocationSystem] 167820101 bstopId Find
