[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 부암역 endpoint Find
[BusLocationSystem] 5200001000 lineId Find
[BusLocationSystem] 민락동 startpoint Find
[BusLocationSystem] 10 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 동명오거리 endpoint Find
[BusLocationSystem] 5200010000 lineId Find
[BusLocationSystem] 연제공용차고지 startpoint Find
[BusLocationSystem] 100 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 장전역 endpoint Find
[BusLocationSystem] 5200100000 lineId Find
[BusLocationSystem] 청강리 startpoint Find
[BusLocationSystem] 100-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 부산대 endpoint Find
[BusLocationSystem] 5200100100 lineId Find
[BusLocationSystem] 송정 startpoint Find
[BusLocationSystem] 1000 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 서면 endpoint Find
[BusLocationSystem] 5201000000 lineId Find
[BusLocationSystem] 다대포 startpoint Find
[BusLocationSystem] 1000(심야) buslinenum Find
[BusLocationSystem] 심야버스(급행) bustype Find
[BusLocationSystem] 서면 endpoint Find
[BusLocationSystem] 5201000F00 lineId Find
[BusLocationSystem] 다대포 startpoint Find
[BusLocationSystem] 1001 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 하단 endpoint Find
[BusLocationSystem] 5201001000 lineId Find
[BusLocationSystem] 청강리 startpoint Find
[BusLocationSystem] 1002 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 센텀시티 endpoint Find
[BusLocationSystem] 5201002000 lineId Find
[BusLocationSystem] 용당공영차고지 startpoint Find
[BusLocationSystem] 1002(심야) buslinenum Find
[BusLocationSystem] 심야버스(급행) bustype Find
[BusLocationSystem] 서면 endpoint Find
[BusLocationSystem] 5201002F00 lineId Find
[BusLocationSystem] 용당공영차고지 startpoint Find
[BusLocationSystem] 1003 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 부산대학병원 endpoint Find
[BusLocationSystem] 5201003000 lineId Find
[BusLocationSystem] 기장교리 startpoint Find
[BusLocationSystem] 1003(심야) buslinenum Find
[BusLocationSystem] 심야버스(급행) bustype Find
[BusLocationSystem] 부산대학병원 endpoint Find
[BusLocationSystem] 5201003F00 lineId Find
[BusLocationSystem] 기장교리 startpoint Find
[BusLocationSystem] 1004 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 국제여객터미널 endpoint Find
[BusLocationSystem] 5201004000 lineId Find
[BusLocationSystem] 김해 구산동 startpoint Find
[BusLocationSystem] 1004(심야) buslinenum Find
[BusLocationSystem] 심야버스(급행) bustype Find
[BusLocationSystem] 서구청 endpoint Find
[BusLocationSystem] 5201004F00 lineId Find
[BusLocationSystem] 김해 구산동 startpoint Find
[BusLocationSystem] 1005 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 법원서부지청 endpoint Find
[BusLocationSystem] 5201005000 lineId Find
[BusLocationSystem] 지사 startpoint Find
[BusLocationSystem] 1008 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 동래역 endpoint Find
[BusLocationSystem] 5201008000 lineId Find
[BusLocationSystem] 좌천원자력의학원 startpoint Find
[BusLocationSystem] 1009 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 가덕도선창 endpoint Find
[BusLocationSystem] 5201009000 lineId Find
[BusLocationSystem] 금곡동 startpoint Find
[BusLocationSystem] 101 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 대연사거리 endpoint Find
[BusLocationSystem] 5200101000 lineId Find
[BusLocationSystem] 태종대 startpoint Find
[BusLocationSystem] 1010 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 서면 endpoint Find
[BusLocationSystem] 5201010000 lineId Find
[BusLocationSystem] 정관 startpoint Find
[BusLocationSystem] 1011 buslinenum Find
[BusLocationSystem] 급행버스 bustype Find
[BusLocationSystem] 경제자유구역청 endpoint Find
[BusLocationSystem] 5201011000 lineId Find
[BusLocationSystem] 청강리 startpoint Find
[BusLocationSystem] 103 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 장림 endpoint Find
[BusLocationSystem] 5200103000 lineId Find
[BusLocationSystem] 연제공용차고지 startpoint Find
[BusLocationSystem] 107 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 센텀시티역 endpoint Find
[BusLocationSystem] 5200107000 lineId Find
[BusLocationSystem] 정관 startpoint Find
[BusLocationSystem] 107(오전) buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 센텀시티역 endpoint Find
[BusLocationSystem] 5200107F00 lineId Find
[BusLocationSystem] 정관 startpoint Find
[BusLocationSystem] 108 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 엄궁APT단지 endpoint Find
[BusLocationSystem] 5200108000 lineId Find
[BusLocationSystem] 민락동 startpoint Find
[BusLocationSystem] 11 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 영도 영선동 endpoint Find
[BusLocationSystem] 5200011000 lineId Find
[BusLocationSystem] 다대포 startpoint Find
[BusLocationSystem] 110 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 온천장 endpoint Find
[BusLocationSystem] 5200110000 lineId Find
[BusLocationSystem] 학장동 startpoint Find
[BusLocationSystem] 110-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 온천장 endpoint Find
[BusLocationSystem] 5200110100 lineId Find
[BusLocationSystem] 가야벽산APT startpoint Find
[BusLocationSystem] 111 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 진시장 endpoint Find
[BusLocationSystem] 5200111000 lineId Find
[BusLocationSystem] 금곡동 startpoint Find
[BusLocationSystem] 113 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 장림공단 endpoint Find
[BusLocationSystem] 5200113000 lineId Find
[BusLocationSystem] 동삼중리 startpoint Find
[BusLocationSystem] 115 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 왕자맨션 endpoint Find
[BusLocationSystem] 5200115000 lineId Find
[BusLocationSystem] 토곡 startpoint Find
[BusLocationSystem] 115-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 해운대신시가지 endpoint Find
[BusLocationSystem] 5200115100 lineId Find
[BusLocationSystem] 반송 startpoint Find
[BusLocationSystem] 121 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 장전역 endpoint Find
[BusLocationSystem] 5200121000 lineId Find
[BusLocationSystem] 금곡동 startpoint Find
[BusLocationSystem] 123 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 서구청 endpoint Find
[BusLocationSystem] 5200123000 lineId Find
[BusLocationSystem] 김해구산동 startpoint Find
[BusLocationSystem] 124 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 서면 endpoint Find
[BusLocationSystem] 5200124000 lineId Find
[BusLocationSystem] 김해구산동 startpoint Find
[BusLocationSystem] 125 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 구포시장 endpoint Find
[BusLocationSystem] 5200125000 lineId Find
[BusLocationSystem] 김해불암동 startpoint Find
[BusLocationSystem] 126 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 충무동 endpoint Find
[BusLocationSystem] 5200126000 lineId Find
[BusLocationSystem] 화명동 startpoint Find
[BusLocationSystem] 127 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 덕천R endpoint Find
[BusLocationSystem] 5200127000 lineId Find
[BusLocationSystem] 김해 구산동 startpoint Find
[BusLocationSystem] 128-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 신라대 endpoint Find
[BusLocationSystem] 5200128100 lineId Find
[BusLocationSystem] 김해 구산동 startpoint Find
[BusLocationSystem] 129-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 신라대 endpoint Find
[BusLocationSystem] 5200129100 lineId Find
[BusLocationSystem] 반송 startpoint Find
[BusLocationSystem] 131 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 오륙도SK뷰 endpoint Find
[BusLocationSystem] 5200131000 lineId Find
[BusLocationSystem] 금정공영차고지 startpoint Find
[BusLocationSystem] 133 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 신만덕 endpoint Find
[BusLocationSystem] 5200133000 lineId Find
[BusLocationSystem] 연제공용차고지 startpoint Find
[BusLocationSystem] 134 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 남부민동 endpoint Find
[BusLocationSystem] 5200134000 lineId Find
[BusLocationSystem] 용당동 startpoint Find
[BusLocationSystem] 138 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 용당동 endpoint Find
[BusLocationSystem] 5200138000 lineId Find
[BusLocationSystem] 장림 startpoint Find
[BusLocationSystem] 138-1 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 용당 endpoint Find
[BusLocationSystem] 5200138100 lineId Find
[BusLocationSystem] 장림 startpoint Find
[BusLocationSystem] 139 buslinenum Find
[BusLocationSystem] 일반버스 bustype Find
[BusLocationSystem] 영화의전당 endpoint Find
